iter	Passed	Remaining
879	2575	351
880	2578	348
881	2580	345
882	2583	342
883	2588	339
884	2591	336
885	2593	333
886	2596	330
887	2603	328
888	2605	325
889	2608	322
890	2611	319
891	2617	316
892	2619	313
893	2622	310
894	2625	308
895	2631	305
896	2636	302
897	2639	299
898	2643	297
899	2649	294
900	2651	291
901	2654	288
902	2659	285
903	2663	282
904	2665	279
905	2667	276
906	2669	273
907	2675	271
908	2680	268
909	2682	265
910	2685	262
911	2691	259
912	2694	256
913	2696	253
914	2698	250
915	2703	247
916	2706	244
917	2707	241
918	2709	238
919	2711	235
920	2715	232
921	2721	230
922	2724	227
923	2727	224
924	2732	221
925	2737	218
926	2739	215
927	2742	212
928	2744	209
929	2750	207
930	2752	204
931	2754	200
932	2757	198
933	2764	195
934	2766	192
935	2769	189
936	2770	186
937	2772	183
938	2774	180
939	2781	177
940	2783	174
941	2786	171
942	2788	168
943	2795	165
944	2798	162
945	2801	159
946	2802	156
947	2805	153
948	2810	151
949	2813	148
950	2816	145
951	2819	142
952	2824	139
953	2828	136
954	2831	133
955	2833	130
956	2839	127
957	2841	124
958	2843	121
959	2845	118
960	2847	115
961	2849	112
962	2853	109
963	2857	106
964	2859	103
965	2861	100
966	2862	97
967	2866	94
968	2870	91
969	2873	88
970	2874	85
971	2876	82
972	2878	79
973	2883	76
974	2886	74
975	2888	71
976	2890	68
977	2892	65
978	2897	62
979	2900	59
980	2903	56
981	2905	53
982	2908	50
983	2911	47
984	2913	44
985	2915	41
986	2917	38
987	2919	35
988	2921	32
989	2923	29
990	2927	26
991	2929	23
992	2931	20
993	2933	17
994	2934	14
995	2936	11
996	2938	8
997	2942	5
998	2944	2
999	2946	0
